lambda,spatial_mode,peak_rank,omega,relative_amplitude,nearest_linear_n,nearest_linear_omega,difference_from_linear
1.00000,6,11,18.3778575771,1.1604505070e-02,6,18.8495559215,0.4716983445
1.00000,6,12,17.4746722688,1.1258210981e-02,6,18.8495559215,1.3748836528
1.00000,7,1,22.3832880746,1.0000000000e+00,7,21.9911485751,0.3921394995
1.00000,7,2,21.9905988102,4.0428197837e-01,7,21.9911485751,0.0005497650
1.00000,7,3,22.6189016333,3.3185094289e-01,7,21.9911485751,0.6277530582
1.00000,7,4,22.1869434424,3.2132495267e-01,7,21.9911485751,0.1957948673
1.00000,7,5,15.9039152109,8.6404848070e-02,5,15.7079632679,0.1959519430
1.00000,7,6,16.1395287696,5.0251894883e-02,5,15.7079632679,0.4315655016
1.00000,7,7,15.7468395051,3.1011669345e-02,5,15.7079632679,0.0388762372
1.00000,7,8,3.2200519686,2.8120097150e-02,1,3.1415926536,0.0784593150
1.00000,7,9,3.4556655273,1.6176135443e-02,1,3.1415926536,0.3140728737
1.00000,7,10,9.2674666414,1.2137487701e-02,3,9.4247779608,0.1573113193
1.00000,7,11,9.4638112737,1.1550989944e-02,3,9.4247779608,0.0390333129
1.00000,7,12,2.9844384100,1.0078921677e-02,1,3.1415926536,0.1571542436
1.00000,8,1,25.1321129259,1.0000000000e+00,8,25.1327412287,0.0006283028
1.00000,8,2,25.3284575581,1.1453196508e-01,8,25.1327412287,0.1957163294
1.00000,8,3,24.9357682937,7.1965818990e-02,8,25.1327412287,0.1969729351
1.00000,8,4,25.4462643375,5.9364861018e-02,8,25.1327412287,0.3135231088
1.00000,8,5,25.7604157490,5.5810658578e-02,8,25.1327412287,0.6276745203
1.00000,8,6,24.7786925879,5.2719711535e-02,8,25.1327412287,0.3540486408
1.00000,8,7,25.5248021904,4.7329791829e-02,8,25.1327412287,0.3920609616
1.00000,8,8,3.2200519686,4.1645544312e-02,1,3.1415926536,0.0784593150
1.00000,8,9,25.6426089697,3.4440994598e-02,8,25.1327412287,0.5098677410
1.00000,8,10,26.4279874986,3.2045845063e-02,8,25.1327412287,1.2952462699
1.00000,8,11,24.5430790292,3.0130664843e-02,8,25.1327412287,0.5896621995
1.00000,8,12,24.3860033234,2.8602497351e-02,8,25.1327412287,0.7467379053
