lambda,amplitude,mode,reference_frequency,dominant_frequency,frequency_shift,relative_peak_amplitude,mean_energy,max_energy,energy_variation
0.2500,1.0000,6,18.8495559215,18.8492614018,-0.0002945197,7.4851449586e-16,1.6567186331e-28,8.7137985266e-28,5.2596719280e+00
0.2500,1.0000,7,21.9911485751,22.0300742634,0.0389256883,1.5132110650e-05,4.8483051194e-08,1.7669209217e-07,3.6444094962e+00
0.2500,1.0000,8,25.1327412287,25.1323485358,-0.0003926929,9.0641312487e-16,2.3086490634e-28,7.0846804741e-28,3.0687496342e+00
0.2500,1.5000,1,3.1415926536,3.1808128616,0.0392202080,1.0000000000e+00,1.1215618015e+01,1.1339915269e+01,2.7657059996e-02
0.2500,1.5000,2,6.2831853072,6.2830871339,-0.0000981732,1.1446634003e-15,2.0657133299e-28,1.5761626514e-27,7.6300810784e+00
0.2500,1.5000,3,9.4247779608,9.5817078793,0.1569299185,1.4877971195e-02,3.6241436219e-02,7.8806254854e-02,2.1744783958e+00
0.2500,1.5000,4,12.5663706144,12.6054435625,0.0390729481,1.3098409130e-15,3.7172927584e-28,1.1332821654e-27,3.0486734468e+00
0.2500,1.5000,5,15.7079632679,15.8255257186,0.1175624507,4.2705215660e-04,7.5149024960e-05,1.9616652708e-04,2.6103668968e+00
0.2500,1.5000,6,18.8495559215,18.8885306964,0.0389747749,6.3991709191e-16,2.2579987275e-28,8.0933746332e-28,3.5843124917e+00
0.2500,1.5000,7,21.9911485751,22.2264207363,0.2352721612,8.7646470739e-06,8.7009286054e-08,3.5048640626e-07,4.0281494327e+00
0.2500,1.5000,8,25.1327412287,25.1323485358,-0.0003926929,4.7414546253e-16,2.7670535559e-28,1.4151171909e-27,5.1141649456e+00
0.5000,0.5000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,1.2318591280e+00,1.2395317927e+00,1.2014256762e-02
0.5000,0.5000,2,6.2831853072,6.2830871339,-0.0000981732,4.2132851297e-15,7.2852659404e-29,2.6987774389e-28,3.7044258471e+00
0.5000,0.5000,3,9.4247779608,9.4246307009,-0.0001472599,2.1968349175e-02,5.4821658510e-03,9.0799412796e-03,1.6562689520e+00
0.5000,0.5000,4,12.5663706144,12.5661742679,-0.0001963465,2.9504940291e-15,1.7776838861e-28,4.1491660989e-28,2.3340075125e+00
0.5000,0.5000,5,15.7079632679,15.7469871294,0.0390238615,6.1614721849e-04,1.1743525862e-05,2.4151687821e-05,2.0565959581e+00
0.5000,0.5000,6,18.8495559215,18.8492614018,-0.0002945197,1.1439649702e-15,4.4181785267e-29,1.3603618014e-28,3.0790061004e+00
0.5000,0.5000,7,21.9911485751,22.0300742634,0.0389256883,1.6900314990e-05,1.9582283103e-08,4.6321420652e-08,2.3654759972e+00
0.5000,0.5000,8,25.1327412287,25.1716178304,0.0388766016,6.1098662661e-16,3.3353010337e-29,1.7724027314e-28,5.3140681678e+00
0.5000,1.0000,1,3.1415926536,3.1808128616,0.0392202080,1.0000000000e+00,4.9757778084e+00,5.0282832054e+00,2.5449666050e-02
0.5000,1.0000,2,6.2831853072,6.3223564285,0.0391711214,3.5058424149e-15,2.8720894797e-28,1.1922277178e-27,4.1510798320e+00
0.5000,1.0000,3,9.4247779608,9.5424385847,0.1176606239,1.2837718704e-02,1.7630025511e-02,3.5202898113e-02,1.9967580108e+00
0.5000,1.0000,4,12.5663706144,12.6054435625,0.0390729481,8.6462273931e-16,1.2780659989e-28,5.2490540175e-28,4.1070048538e+00
0.5000,1.0000,5,15.7079632679,15.8255257186,0.1175624507,4.0329177010e-04,3.3959019614e-05,8.8567978210e-05,2.6080840736e+00
0.5000,1.0000,6,18.8495559215,18.8885306964,0.0389747749,5.1774438700e-16,8.3817403399e-29,4.1005973572e-28,4.8922888405e+00
0.5000,1.0000,7,21.9911485751,22.1871514417,0.1960028666,9.1982693705e-06,4.0888505783e-08,1.6011387584e-07,3.9158651746e+00
0.5000,1.0000,8,25.1327412287,25.1323485358,-0.0003926929,1.2018267040e-15,4.6756325331e-28,1.1056046209e-27,2.3646038182e+00
0.5000,1.5000,1,3.1415926536,3.2593514507,0.1177587971,1.0000000000e+00,1.1366218627e+01,1.1576090739e+01,4.7292922924e-02
0.5000,1.5000,2,6.2831853072,6.2830871339,-0.0000981732,1.4704367038e-15,2.3349000791e-28,1.4000615027e-27,5.9962346719e+00
0.5000,1.5000,3,9.4247779608,9.7387850576,0.3140070968,1.4737654749e-02,3.5063079189e-02,7.5059315779e-02,2.1406898216e+00
0.5000,1.5000,4,12.5663706144,12.6054435625,0.0390729481,4.0303589853e-16,5.6943258620e-29,3.0479380855e-28,5.3525753198e+00
0.5000,1.5000,5,15.7079632679,15.9433336024,0.2353703344,4.2546577716e-04,5.9957669085e-05,1.6921897355e-04,2.8223074067e+00
0.5000,1.5000,6,18.8495559215,18.8885306964,0.0389747749,2.4410150710e-16,6.7407464728e-29,4.3208159997e-28,6.4099879967e+00
0.5000,1.5000,7,21.9911485751,22.4227672093,0.4316186341,9.2350608719e-06,6.1368296941e-08,2.7447862249e-07,4.4726452610e+00
0.5000,1.5000,8,25.1327412287,25.1323485358,-0.0003926929,5.3656479927e-16,2.3802610460e-28,9.9250619545e-28,4.1697338264e+00
0.7500,0.5000,1,3.1415926536,3.1415435670,-0.0000490866,1.0000000000e+00,1.2350746766e+00,1.2424581307e+00,1.4258592870e-02
0.7500,0.5000,2,6.2831853072,6.2830871339,-0.0000981732,2.9421341729e-15,6.5797468677e-29,3.7092664216e-28,5.6373959635e+00
0.7500,0.5000,3,9.4247779608,9.4638999955,0.0391220347,2.5283901821e-02,4.1060885518e-03,9.0320838165e-03,2.1996806141e+00
0.7500,0.5000,4,12.5663706144,12.5661742679,-0.0001963465,9.8383941193e-16,3.3756213823e-29,1.4480870905e-28,4.2898375908e+00
0.7500,0.5000,5,15.7079632679,15.7469871294,0.0390238615,7.4128158627e-04,9.1469433804e-06,2.3814848870e-05,2.6035854689e+00
0.7500,0.5000,6,18.8495559215,18.8492614018,-0.0002945197,1.0432668958e-15,6.7951681161e-29,2.2291402953e-28,3.2804732621e+00
0.7500,0.5000,7,21.9911485751,22.0300742634,0.0389256883,2.0744218128e-05,1.4854277208e-08,4.5232932508e-08,3.0451116452e+00
0.7500,0.5000,8,25.1327412287,25.1323485358,-0.0003926929,7.1361313442e-16,2.7579131998e-29,1.2003877687e-28,4.3522322285e+00
0.7500,1.0000,1,3.1415926536,3.2200821561,0.0784895026,1.0000000000e+00,5.0069248053e+00,5.0749943264e+00,3.4266401395e-02
0.7500,1.0000,2,6.2831853072,6.3223564285,0.0391711214,3.7524028885e-15,2.4051407766e-28,8.2213538878e-28,3.4182394099e+00
0.7500,1.0000,3,9.4247779608,9.6209771739,0.1961992131,1.5299596389e-02,1.5965705981e-02,3.4468312297e-02,2.1588951264e+00
0.7500,1.0000,4,12.5663706144,12.6054435625,0.0390729481,9.0366209671e-16,1.0829653055e-28,5.7711395998e-28,5.3290148511e+00
0.7500,1.0000,5,15.7079632679,15.8647950132,0.1568317453,4.1883302871e-04,3.1306135362e-05,8.3277685250e-05,2.6601074929e+00
0.7500,1.0000,6,18.8495559215,18.7707228127,-0.0788331089,2.0247001095e-16,1.9230657581e-29,1.0514158227e-28,5.4673659265e+00
0.7500,1.0000,7,21.9911485751,22.3049593255,0.3138107504,7.9198115417e-06,3.3258977084e-08,1.4404990152e-07,4.3311585066e+00
0.7500,1.0000,8,25.1327412287,25.1323485358,-0.0003926929,9.6538343891e-16,2.6651652314e-28,7.1361432646e-28,2.6775580742e+00
0.7500,1.5000,1,3.1415926536,3.2986207453,0.1570280917,1.0000000000e+00,1.1518173943e+01,1.1811479477e+01,6.6372670035e-02
0.7500,1.5000,2,6.2831853072,6.4008950177,0.1177097105,1.5101786719e-15,2.0532180966e-28,1.3845814040e-27,6.7434638319e+00
0.7500,1.5000,3,9.4247779608,9.8565929414,0.4318149806,1.4546997623e-02,3.3381315075e-02,7.1443783075e-02,2.1402316502e+00
0.7500,1.5000,4,12.5663706144,12.6054435625,0.0390729481,1.6795229498e-15,4.2931776575e-28,1.2247213401e-27,2.8525930969e+00
0.7500,1.5000,5,15.7079632679,16.0611414861,0.3531782182,3.3992235253e-04,4.8737223352e-05,1.4568294962e-04,2.9891516094e+00
0.7500,1.5000,6,18.8495559215,18.8885306964,0.0389747749,1.8153356785e-16,4.3842947412e-29,2.6000604446e-28,5.9301976226e+00
0.7500,1.5000,7,21.9911485751,22.6583829768,0.6672344017,6.8978693274e-06,4.7736812862e-08,2.0827273309e-07,4.3629375445e+00
0.7500,1.5000,8,25.1327412287,25.1716178304,0.0388766016,4.0571761274e-16,1.4554616738e-28,7.4336520671e-28,5.1074021909e+00
1.0000,0.5000,1,3.1415926536,3.1808128616,0.0392202080,1.0000000000e+00,1.2367114316e+00,1.2453831902e+00,1.6512575223e-02
1.0000,0.5000,2,6.2831853072,6.2830871339,-0.0000981732,2.0581278210e-15,1.8668879049e-29,1.3614679307e-28,7.2926471871e+00
1.0000,0.5000,3,9.4247779608,9.4638999955,0.0391220347,1.6863169492e-02,4.2964306996e-03,8.9838966692e-03,2.0910138053e+00
1.0000,0.5000,4,12.5663706144,12.5661742679,-0.0001963465,1.7105142704e-15,6.3151137617e-29,2.0224544714e-28,3.2025600616e+00
1.0000,0.5000,5,15.7079632679,15.7469871294,0.0390238615,5.8431557980e-04,7.6640596462e-06,2.3478720995e-05,3.0634835947e+00
1.0000,0.5000,6,18.8495559215,18.8492614018,-0.0002945197,7.4851449586e-16,4.1417965826e-29,2.1784496317e-28,5.2596719280e+00
1.0000,0.5000,7,21.9911485751,22.0300742634,0.0389256883,1.5132110650e-05,1.2120762799e-08,4.4173023044e-08,3.6444094962e+00
1.0000,0.5000,8,25.1327412287,25.1323485358,-0.0003926929,9.0641312487e-16,5.7716226584e-29,1.7711701185e-28,3.0687496342e+00
1.0000,1.0000,1,3.1415926536,3.2200821561,0.0784895026,1.0000000000e+00,5.0360690763e+00,5.1216336543e+00,4.2984291771e-02
1.0000,1.0000,2,6.2831853072,6.3616257231,0.0784404159,2.7747209285e-15,1.7822243829e-28,6.9936727512e-28,3.9241125703e+00
1.0000,1.0000,3,9.4247779608,9.6995157630,0.2747378023,1.4287778480e-02,1.6394717951e-02,3.3724816951e-02,2.0570514077e+00
1.0000,1.0000,4,12.5663706144,12.6054435625,0.0390729481,5.3822883865e-16,5.7609959788e-29,4.0270001704e-28,6.9898943494e+00
1.0000,1.0000,5,15.7079632679,15.9040643078,0.1961010398,3.3925527599e-04,2.9125470206e-05,7.8053110230e-05,2.6798918500e+00
1.0000,1.0000,6,18.8495559215,18.8885306964,0.0389747749,4.9774804243e-16,5.7922421655e-29,2.2411057873e-28,3.8690442806e+00
1.0000,1.0000,7,21.9911485751,22.3834979147,0.3923493395,8.6300888488e-06,3.0773403029e-08,1.2859532720e-07,4.1787814978e+00
1.0000,1.0000,8,25.1327412287,25.1716178304,0.0388766016,3.0705791659e-16,4.3079724256e-29,2.1277592010e-28,4.9385604017e+00
1.0000,1.5000,1,3.1415926536,3.3378900399,0.1962973863,1.0000000000e+00,1.1671060474e+01,1.2046093832e+01,8.4912735581e-02
1.0000,1.5000,2,6.2831853072,6.4008950177,0.1177097105,1.8448527841e-15,3.2189800268e-28,2.1540682598e-27,6.6917493630e+00
1.0000,1.5000,3,9.4247779608,10.0136701197,0.5888921590,1.4117481868e-02,3.1799131358e-02,6.7940574298e-02,2.1365529705e+00
1.0000,1.5000,4,12.5663706144,12.6447128571,0.0783422427,5.1046397804e-16,1.5957211855e-28,1.0509097818e-27,6.5857582455e+00
1.0000,1.5000,5,15.7079632679,16.1789493699,0.4709861020,2.8796302824e-04,4.0262944043e-05,1.2053456245e-04,2.9936847718e+00
1.0000,1.5000,6,18.8495559215,18.9670692856,0.1175133641,3.2784852290e-16,8.1955393857e-29,4.8778329282e-28,5.9518109491e+00
1.0000,1.5000,7,21.9911485751,22.8547294497,0.8635808746,6.3322310907e-06,3.4617601535e-08,1.5079631385e-07,4.3560589746e+00
1.0000,1.5000,8,25.1327412287,25.1716178304,0.0388766016,4.6139733749e-16,1.6800593293e-28,7.2846500652e-28,4.3359472325e+00
